11:25:35 - CPU: 4.8% | Memory: 36.7% (63.4 GB)
11:26:03 - CPU: 22.4% | Memory: 37.5% (64.9 GB)
11:26:04 - CPU: 22.5% | Memory: 37.5% (64.9 GB)
11:26:05 - CPU: 22.5% | Memory: 37.5% (64.9 GB)
11:26:06 - CPU: 20.8% | Memory: 37.2% (64.4 GB)
11:26:07 - CPU: 17.5% | Memory: 37.6% (64.9 GB)
11:26:08 - CPU: 25.4% | Memory: 37.5% (64.9 GB)
11:26:09 - CPU: 22.3% | Memory: 37.3% (64.4 GB)
11:26:10 - CPU: 25.3% | Memory: 37.7% (65.2 GB)
11:26:11 - CPU: 24.7% | Memory: 37.7% (65.2 GB)
11:26:12 - CPU: 31.9% | Memory: 38.3% (66.2 GB)
11:26:13 - CPU: 50.6% | Memory: 38.3% (66.3 GB)
11:26:14 - CPU: 46.0% | Memory: 37.7% (65.3 GB)
11:26:15 - CPU: 15.5% | Memory: 37.5% (64.9 GB)
11:26:16 - CPU: 17.1% | Memory: 37.5% (64.9 GB)
11:26:17 - CPU: 14.1% | Memory: 37.3% (64.5 GB)
11:26:18 - CPU: 8.7% | Memory: 37.3% (64.4 GB)
11:26:19 - CPU: 8.7% | Memory: 37.3% (64.4 GB)
11:26:20 - CPU: 8.7% | Memory: 37.2% (64.3 GB)
11:26:21 - CPU: 7.6% | Memory: 37.2% (64.3 GB)
11:26:22 - CPU: 6.7% | Memory: 37.1% (64.2 GB)
11:26:23 - CPU: 5.6% | Memory: 37.1% (64.2 GB)
11:26:24 - CPU: 5.4% | Memory: 37.1% (64.1 GB)
11:26:25 - CPU: 5.2% | Memory: 37.1% (64.1 GB)
11:26:26 - CPU: 5.6% | Memory: 37.1% (64.1 GB)
11:26:27 - CPU: 5.5% | Memory: 37.1% (64.0 GB)
11:26:28 - CPU: 5.2% | Memory: 37.1% (64.0 GB)
11:26:29 - CPU: 4.7% | Memory: 37.0% (64.0 GB)
11:26:30 - CPU: 4.6% | Memory: 37.1% (64.1 GB)
11:26:31 - CPU: 4.4% | Memory: 37.1% (64.2 GB)
11:26:32 - CPU: 4.3% | Memory: 37.1% (64.2 GB)
11:26:34 - CPU: 6.2% | Memory: 37.2% (64.2 GB)
11:26:35 - CPU: 10.5% | Memory: 37.2% (64.3 GB)
11:26:36 - CPU: 10.3% | Memory: 37.2% (64.3 GB)
11:26:37 - CPU: 4.5% | Memory: 36.9% (63.8 GB)
11:26:38 - CPU: 12.0% | Memory: 37.2% (64.3 GB)
11:26:39 - CPU: 11.8% | Memory: 37.2% (64.3 GB)
11:26:40 - CPU: 12.1% | Memory: 37.2% (64.3 GB)
11:26:41 - CPU: 12.4% | Memory: 37.2% (64.3 GB)
11:26:42 - CPU: 12.2% | Memory: 37.2% (64.3 GB)
11:26:43 - CPU: 12.3% | Memory: 37.2% (64.3 GB)
11:26:44 - CPU: 11.7% | Memory: 37.2% (64.3 GB)
11:26:45 - CPU: 11.5% | Memory: 37.2% (64.3 GB)
11:26:46 - CPU: 11.9% | Memory: 37.2% (64.3 GB)
11:26:47 - CPU: 11.8% | Memory: 37.1% (64.1 GB)
11:26:48 - CPU: 11.6% | Memory: 37.1% (64.0 GB)
11:26:49 - CPU: 11.3% | Memory: 37.1% (64.1 GB)
11:26:50 - CPU: 10.6% | Memory: 37.1% (64.1 GB)
11:26:51 - CPU: 11.0% | Memory: 37.1% (64.1 GB)
11:26:52 - CPU: 10.5% | Memory: 37.1% (64.2 GB)
11:26:53 - CPU: 10.4% | Memory: 37.1% (64.2 GB)
11:26:54 - CPU: 11.9% | Memory: 37.1% (64.2 GB)
11:26:55 - CPU: 12.0% | Memory: 37.1% (64.2 GB)
11:26:56 - CPU: 10.2% | Memory: 37.1% (64.1 GB)
11:26:57 - CPU: 10.9% | Memory: 37.1% (64.1 GB)
11:26:58 - CPU: 10.5% | Memory: 37.1% (64.2 GB)
11:26:59 - CPU: 9.9% | Memory: 37.1% (64.1 GB)
11:27:00 - CPU: 9.8% | Memory: 37.1% (64.1 GB)
11:27:01 - CPU: 9.8% | Memory: 37.1% (64.1 GB)
11:27:02 - CPU: 9.0% | Memory: 37.1% (64.1 GB)
11:27:03 - CPU: 9.0% | Memory: 37.1% (64.1 GB)
11:27:04 - CPU: 9.2% | Memory: 37.1% (64.1 GB)
11:27:05 - CPU: 9.0% | Memory: 37.1% (64.1 GB)
11:27:06 - CPU: 9.2% | Memory: 37.1% (64.1 GB)
11:27:07 - CPU: 9.9% | Memory: 37.1% (64.2 GB)
11:27:08 - CPU: 9.0% | Memory: 37.1% (64.2 GB)
11:27:09 - CPU: 9.5% | Memory: 37.1% (64.2 GB)
11:27:10 - CPU: 11.1% | Memory: 37.1% (64.1 GB)
11:27:11 - CPU: 9.6% | Memory: 37.1% (64.1 GB)
11:27:12 - CPU: 10.3% | Memory: 37.1% (64.2 GB)
11:27:13 - CPU: 10.0% | Memory: 37.1% (64.2 GB)
11:27:14 - CPU: 10.3% | Memory: 37.1% (64.2 GB)
11:27:15 - CPU: 9.4% | Memory: 37.1% (64.1 GB)
11:27:16 - CPU: 9.4% | Memory: 37.1% (64.2 GB)
11:27:17 - CPU: 9.7% | Memory: 37.1% (64.1 GB)
11:27:18 - CPU: 9.5% | Memory: 37.1% (64.1 GB)
11:27:19 - CPU: 8.9% | Memory: 37.1% (64.1 GB)
11:27:20 - CPU: 9.6% | Memory: 37.1% (64.1 GB)
11:27:21 - CPU: 9.1% | Memory: 37.1% (64.1 GB)
11:27:22 - CPU: 9.2% | Memory: 37.1% (64.1 GB)
11:27:23 - CPU: 8.8% | Memory: 37.1% (64.1 GB)
11:27:24 - CPU: 9.2% | Memory: 37.1% (64.2 GB)
11:27:25 - CPU: 8.8% | Memory: 37.1% (64.1 GB)
11:27:26 - CPU: 9.4% | Memory: 37.1% (64.1 GB)
11:27:27 - CPU: 8.7% | Memory: 37.1% (64.1 GB)
11:27:28 - CPU: 10.3% | Memory: 37.1% (64.2 GB)
11:27:29 - CPU: 10.2% | Memory: 37.1% (64.2 GB)
11:27:30 - CPU: 9.0% | Memory: 37.1% (64.2 GB)
11:27:31 - CPU: 9.3% | Memory: 37.1% (64.2 GB)
11:27:32 - CPU: 8.7% | Memory: 37.1% (64.2 GB)
11:27:33 - CPU: 9.2% | Memory: 37.1% (64.2 GB)
11:27:34 - CPU: 8.8% | Memory: 37.1% (64.2 GB)
11:27:35 - CPU: 10.0% | Memory: 37.1% (64.2 GB)
11:27:36 - CPU: 21.0% | Memory: 37.1% (64.2 GB)
11:27:37 - CPU: 10.4% | Memory: 37.2% (64.3 GB)
11:27:38 - CPU: 10.4% | Memory: 37.2% (64.3 GB)
11:27:39 - CPU: 10.0% | Memory: 37.2% (64.4 GB)
11:27:40 - CPU: 10.0% | Memory: 37.3% (64.4 GB)
11:27:41 - CPU: 9.7% | Memory: 37.3% (64.5 GB)
11:27:42 - CPU: 10.2% | Memory: 37.3% (64.5 GB)
11:27:43 - CPU: 8.5% | Memory: 37.3% (64.5 GB)
11:27:44 - CPU: 7.7% | Memory: 37.3% (64.5 GB)
11:27:45 - CPU: 8.3% | Memory: 37.3% (64.6 GB)
11:27:46 - CPU: 10.0% | Memory: 37.4% (64.8 GB)
11:27:47 - CPU: 7.7% | Memory: 37.4% (64.7 GB)
11:27:48 - CPU: 6.4% | Memory: 37.3% (64.6 GB)
11:27:49 - CPU: 6.2% | Memory: 37.3% (64.7 GB)
11:27:50 - CPU: 6.2% | Memory: 37.4% (64.7 GB)
11:27:51 - CPU: 8.5% | Memory: 37.4% (64.8 GB)
11:27:52 - CPU: 7.0% | Memory: 37.4% (64.8 GB)
11:27:53 - CPU: 5.5% | Memory: 37.4% (64.9 GB)
11:27:54 - CPU: 6.0% | Memory: 37.5% (64.9 GB)
11:27:55 - CPU: 6.2% | Memory: 37.0% (64.0 GB)
11:27:56 - CPU: 4.8% | Memory: 37.0% (64.0 GB)
11:27:57 - CPU: 5.2% | Memory: 37.0% (64.0 GB)
11:27:58 - CPU: 5.4% | Memory: 37.0% (64.0 GB)
11:27:59 - CPU: 5.3% | Memory: 37.0% (64.0 GB)
11:28:00 - CPU: 6.0% | Memory: 37.1% (64.1 GB)
11:28:01 - CPU: 6.0% | Memory: 37.1% (64.1 GB)
11:28:02 - CPU: 5.0% | Memory: 37.1% (64.2 GB)
11:28:03 - CPU: 4.7% | Memory: 37.1% (64.1 GB)
11:28:04 - CPU: 5.0% | Memory: 37.1% (64.1 GB)
11:28:05 - CPU: 14.6% | Memory: 37.1% (64.1 GB)
11:28:06 - CPU: 5.1% | Memory: 37.1% (64.1 GB)
11:28:07 - CPU: 5.1% | Memory: 37.1% (64.1 GB)
11:28:08 - CPU: 4.7% | Memory: 36.9% (63.8 GB)
11:28:09 - CPU: 4.9% | Memory: 36.9% (63.8 GB)
11:28:10 - CPU: 4.8% | Memory: 36.9% (63.8 GB)
11:28:11 - CPU: 4.7% | Memory: 36.9% (63.8 GB)
11:28:12 - CPU: 6.2% | Memory: 37.0% (63.8 GB)
11:28:13 - CPU: 4.7% | Memory: 37.0% (63.9 GB)
11:28:14 - CPU: 5.9% | Memory: 37.0% (63.9 GB)
11:28:15 - CPU: 6.1% | Memory: 37.0% (64.0 GB)
11:28:16 - CPU: 6.0% | Memory: 37.1% (64.1 GB)
11:28:17 - CPU: 6.7% | Memory: 37.1% (64.2 GB)
11:28:18 - CPU: 6.5% | Memory: 37.1% (64.2 GB)
11:28:19 - CPU: 6.9% | Memory: 37.2% (64.3 GB)
11:28:20 - CPU: 11.6% | Memory: 37.3% (64.5 GB)
11:28:21 - CPU: 7.9% | Memory: 37.1% (64.2 GB)
11:28:22 - CPU: 5.5% | Memory: 37.2% (64.2 GB)
11:28:23 - CPU: 5.7% | Memory: 37.2% (64.3 GB)
11:28:24 - CPU: 5.1% | Memory: 37.2% (64.3 GB)
11:28:25 - CPU: 6.4% | Memory: 37.2% (64.4 GB)
11:28:26 - CPU: 5.4% | Memory: 37.2% (64.3 GB)
11:28:27 - CPU: 5.1% | Memory: 37.2% (64.3 GB)
11:28:28 - CPU: 8.0% | Memory: 37.2% (64.3 GB)
11:28:29 - CPU: 5.3% | Memory: 37.2% (64.3 GB)
11:28:30 - CPU: 5.6% | Memory: 37.3% (64.4 GB)
11:28:32 - CPU: 6.3% | Memory: 37.3% (64.5 GB)
11:28:33 - CPU: 8.7% | Memory: 37.3% (64.5 GB)
11:28:34 - CPU: 7.0% | Memory: 37.3% (64.5 GB)
11:28:35 - CPU: 5.0% | Memory: 37.3% (64.5 GB)
11:28:36 - CPU: 5.5% | Memory: 37.2% (64.4 GB)
11:28:37 - CPU: 5.6% | Memory: 37.3% (64.5 GB)
11:28:38 - CPU: 5.2% | Memory: 37.3% (64.5 GB)
11:28:39 - CPU: 5.7% | Memory: 37.3% (64.5 GB)
11:28:40 - CPU: 5.9% | Memory: 37.3% (64.4 GB)
11:28:41 - CPU: 5.8% | Memory: 37.2% (64.4 GB)
11:28:42 - CPU: 5.1% | Memory: 37.3% (64.5 GB)
11:28:43 - CPU: 4.7% | Memory: 37.3% (64.5 GB)
11:28:44 - CPU: 5.4% | Memory: 37.3% (64.6 GB)
11:28:45 - CPU: 5.6% | Memory: 37.3% (64.5 GB)
11:28:46 - CPU: 51.8% | Memory: 37.6% (65.0 GB)
11:28:47 - CPU: 47.2% | Memory: 37.5% (64.8 GB)
11:28:48 - CPU: 5.2% | Memory: 37.5% (64.9 GB)
11:28:49 - CPU: 5.6% | Memory: 37.6% (65.0 GB)
11:28:50 - CPU: 6.0% | Memory: 37.1% (64.1 GB)
11:28:51 - CPU: 5.3% | Memory: 37.2% (64.3 GB)
11:28:52 - CPU: 5.7% | Memory: 37.5% (64.9 GB)
11:28:53 - CPU: 6.2% | Memory: 37.5% (64.8 GB)
11:28:54 - CPU: 5.3% | Memory: 37.5% (64.9 GB)
11:28:55 - CPU: 5.8% | Memory: 37.5% (64.9 GB)
11:28:56 - CPU: 5.4% | Memory: 37.5% (64.9 GB)
11:28:57 - CPU: 5.6% | Memory: 37.5% (64.9 GB)
11:28:58 - CPU: 5.8% | Memory: 37.5% (64.9 GB)
11:28:59 - CPU: 5.8% | Memory: 37.5% (64.9 GB)
11:29:00 - CPU: 5.8% | Memory: 37.5% (64.9 GB)
11:29:01 - CPU: 6.0% | Memory: 37.4% (64.7 GB)
11:29:02 - CPU: 5.5% | Memory: 37.5% (64.8 GB)
11:29:03 - CPU: 5.4% | Memory: 37.5% (64.8 GB)
11:29:04 - CPU: 5.3% | Memory: 37.6% (65.0 GB)
11:29:05 - CPU: 5.9% | Memory: 37.5% (64.9 GB)
11:29:06 - CPU: 5.8% | Memory: 37.4% (64.8 GB)
11:29:07 - CPU: 5.7% | Memory: 37.5% (64.8 GB)
11:29:08 - CPU: 5.6% | Memory: 37.5% (65.0 GB)
11:29:09 - CPU: 5.6% | Memory: 37.5% (64.8 GB)
11:29:10 - CPU: 5.8% | Memory: 37.5% (64.9 GB)
11:29:11 - CPU: 5.7% | Memory: 37.4% (64.8 GB)
11:29:12 - CPU: 6.0% | Memory: 37.5% (64.9 GB)
11:29:13 - CPU: 5.7% | Memory: 37.5% (64.8 GB)
11:29:14 - CPU: 6.3% | Memory: 37.5% (64.9 GB)
11:29:15 - CPU: 5.0% | Memory: 37.5% (64.8 GB)
11:29:16 - CPU: 5.6% | Memory: 37.5% (64.9 GB)
11:29:17 - CPU: 5.5% | Memory: 37.5% (64.9 GB)
11:29:18 - CPU: 5.9% | Memory: 37.5% (64.8 GB)
11:29:19 - CPU: 5.9% | Memory: 37.5% (64.8 GB)
11:29:20 - CPU: 6.4% | Memory: 37.5% (64.9 GB)
11:29:21 - CPU: 5.9% | Memory: 37.4% (64.6 GB)
11:29:22 - CPU: 5.8% | Memory: 37.4% (64.6 GB)
11:29:23 - CPU: 5.2% | Memory: 37.5% (64.8 GB)
11:29:24 - CPU: 5.6% | Memory: 37.5% (64.9 GB)
11:29:25 - CPU: 5.9% | Memory: 37.5% (64.9 GB)
11:29:26 - CPU: 6.3% | Memory: 37.5% (64.9 GB)
11:29:27 - CPU: 5.8% | Memory: 37.5% (64.9 GB)
11:29:28 - CPU: 5.1% | Memory: 37.5% (64.9 GB)
11:29:29 - CPU: 6.0% | Memory: 37.6% (65.0 GB)
11:29:30 - CPU: 5.5% | Memory: 37.5% (64.9 GB)
11:29:31 - CPU: 6.1% | Memory: 37.5% (65.0 GB)
11:29:32 - CPU: 6.2% | Memory: 37.6% (65.0 GB)
11:29:33 - CPU: 5.4% | Memory: 37.5% (64.9 GB)
11:29:34 - CPU: 5.2% | Memory: 37.5% (64.9 GB)
11:29:35 - CPU: 5.5% | Memory: 37.5% (64.9 GB)
11:29:36 - CPU: 5.9% | Memory: 37.6% (65.0 GB)
11:29:37 - CPU: 5.6% | Memory: 37.5% (64.9 GB)
11:29:38 - CPU: 6.0% | Memory: 37.5% (64.9 GB)
11:29:39 - CPU: 5.4% | Memory: 37.5% (65.0 GB)
11:29:40 - CPU: 5.8% | Memory: 37.6% (65.0 GB)
11:29:41 - CPU: 6.1% | Memory: 37.5% (64.9 GB)
11:29:42 - CPU: 5.1% | Memory: 37.6% (65.0 GB)
11:29:43 - CPU: 5.5% | Memory: 37.5% (64.9 GB)
11:29:44 - CPU: 6.2% | Memory: 37.5% (65.0 GB)
11:29:45 - CPU: 5.7% | Memory: 37.5% (64.9 GB)
11:29:46 - CPU: 5.4% | Memory: 37.5% (64.9 GB)
11:29:47 - CPU: 5.9% | Memory: 37.5% (64.9 GB)
11:29:48 - CPU: 5.1% | Memory: 37.5% (64.9 GB)
11:29:49 - CPU: 5.6% | Memory: 37.5% (64.8 GB)
11:29:50 - CPU: 5.7% | Memory: 37.5% (64.9 GB)
11:29:51 - CPU: 5.7% | Memory: 37.5% (64.9 GB)
11:29:52 - CPU: 5.6% | Memory: 37.5% (64.9 GB)
11:29:53 - CPU: 5.5% | Memory: 37.5% (64.9 GB)
11:29:54 - CPU: 5.5% | Memory: 37.5% (64.9 GB)
11:29:55 - CPU: 5.1% | Memory: 37.6% (65.0 GB)
11:29:56 - CPU: 5.5% | Memory: 37.5% (64.8 GB)
11:29:57 - CPU: 6.0% | Memory: 37.6% (65.1 GB)
11:29:58 - CPU: 5.5% | Memory: 37.2% (64.4 GB)
11:29:59 - CPU: 4.3% | Memory: 37.3% (64.5 GB)
11:30:00 - CPU: 4.4% | Memory: 37.3% (64.4 GB)
11:30:01 - CPU: 4.1% | Memory: 37.2% (64.3 GB)
11:30:02 - CPU: 5.0% | Memory: 37.1% (64.0 GB)
11:30:03 - CPU: 3.8% | Memory: 37.1% (64.1 GB)
11:30:04 - CPU: 6.0% | Memory: 37.1% (64.1 GB)
11:30:05 - CPU: 4.2% | Memory: 37.1% (64.2 GB)
11:30:06 - CPU: 4.4% | Memory: 37.1% (64.2 GB)
11:30:07 - CPU: 4.1% | Memory: 37.1% (64.1 GB)
11:30:08 - CPU: 4.6% | Memory: 37.1% (64.1 GB)
11:30:09 - CPU: 4.8% | Memory: 37.1% (64.2 GB)
11:30:10 - CPU: 4.1% | Memory: 37.1% (64.2 GB)
11:30:11 - CPU: 4.5% | Memory: 37.1% (64.2 GB)
11:30:12 - CPU: 4.4% | Memory: 37.2% (64.3 GB)
11:30:13 - CPU: 4.6% | Memory: 37.1% (64.2 GB)
11:30:14 - CPU: 4.5% | Memory: 37.2% (64.3 GB)
11:30:15 - CPU: 4.3% | Memory: 37.2% (64.4 GB)
11:30:16 - CPU: 4.9% | Memory: 37.3% (64.4 GB)
11:30:17 - CPU: 5.0% | Memory: 37.3% (64.5 GB)
11:30:18 - CPU: 4.7% | Memory: 37.2% (64.4 GB)
11:30:19 - CPU: 4.6% | Memory: 37.2% (64.4 GB)
11:30:20 - CPU: 4.7% | Memory: 37.2% (64.2 GB)
11:30:21 - CPU: 4.8% | Memory: 37.2% (64.3 GB)
11:30:22 - CPU: 4.9% | Memory: 37.1% (64.2 GB)
11:30:23 - CPU: 4.2% | Memory: 37.1% (64.2 GB)
11:30:24 - CPU: 5.0% | Memory: 37.2% (64.2 GB)
11:30:25 - CPU: 4.3% | Memory: 37.2% (64.3 GB)
11:30:26 - CPU: 4.8% | Memory: 37.2% (64.4 GB)
11:30:27 - CPU: 4.1% | Memory: 37.2% (64.4 GB)
11:30:28 - CPU: 5.0% | Memory: 37.3% (64.4 GB)
11:30:29 - CPU: 4.3% | Memory: 37.2% (64.4 GB)
11:30:30 - CPU: 5.4% | Memory: 37.2% (64.4 GB)
11:30:31 - CPU: 5.4% | Memory: 37.3% (64.6 GB)
11:30:32 - CPU: 4.8% | Memory: 37.2% (64.4 GB)
11:30:33 - CPU: 4.6% | Memory: 37.3% (64.4 GB)
11:30:34 - CPU: 5.3% | Memory: 37.3% (64.5 GB)
11:30:35 - CPU: 4.3% | Memory: 37.3% (64.4 GB)
11:30:36 - CPU: 4.9% | Memory: 37.3% (64.5 GB)
11:30:37 - CPU: 5.2% | Memory: 37.3% (64.5 GB)
11:30:38 - CPU: 4.6% | Memory: 37.2% (64.3 GB)
11:30:39 - CPU: 4.6% | Memory: 37.2% (64.4 GB)
11:30:40 - CPU: 5.1% | Memory: 37.2% (64.4 GB)
11:30:41 - CPU: 5.1% | Memory: 37.3% (64.4 GB)
11:30:42 - CPU: 5.1% | Memory: 37.3% (64.5 GB)
11:30:43 - CPU: 5.4% | Memory: 37.2% (64.3 GB)
11:30:44 - CPU: 5.9% | Memory: 37.3% (64.5 GB)
11:30:45 - CPU: 5.0% | Memory: 37.2% (64.4 GB)
11:30:46 - CPU: 5.1% | Memory: 37.3% (64.4 GB)
11:30:47 - CPU: 4.9% | Memory: 37.1% (64.2 GB)
11:30:48 - CPU: 4.9% | Memory: 37.2% (64.4 GB)
11:30:49 - CPU: 4.5% | Memory: 37.3% (64.4 GB)
11:30:50 - CPU: 5.9% | Memory: 37.2% (64.3 GB)
11:30:51 - CPU: 5.1% | Memory: 37.2% (64.4 GB)
11:30:52 - CPU: 5.6% | Memory: 37.3% (64.4 GB)
11:30:53 - CPU: 4.6% | Memory: 37.3% (64.4 GB)
11:30:54 - CPU: 4.4% | Memory: 37.2% (64.3 GB)
11:30:55 - CPU: 4.8% | Memory: 37.2% (64.4 GB)
11:30:56 - CPU: 5.5% | Memory: 37.2% (64.4 GB)
11:30:57 - CPU: 5.4% | Memory: 37.2% (64.3 GB)
11:30:58 - CPU: 5.3% | Memory: 37.3% (64.5 GB)
11:30:59 - CPU: 5.1% | Memory: 37.3% (64.4 GB)
11:31:00 - CPU: 5.5% | Memory: 37.3% (64.5 GB)
11:31:01 - CPU: 5.3% | Memory: 37.2% (64.4 GB)
11:31:02 - CPU: 5.3% | Memory: 37.2% (64.4 GB)
11:31:03 - CPU: 5.1% | Memory: 37.3% (64.6 GB)
11:31:04 - CPU: 5.2% | Memory: 37.2% (64.4 GB)
11:31:05 - CPU: 4.7% | Memory: 37.2% (64.3 GB)
11:31:06 - CPU: 4.9% | Memory: 37.2% (64.4 GB)
11:31:07 - CPU: 5.2% | Memory: 37.2% (64.4 GB)
11:31:08 - CPU: 5.1% | Memory: 37.2% (64.4 GB)
11:31:09 - CPU: 4.2% | Memory: 37.3% (64.4 GB)
11:31:10 - CPU: 4.4% | Memory: 37.3% (64.4 GB)
11:31:11 - CPU: 4.3% | Memory: 37.2% (64.3 GB)
11:31:12 - CPU: 4.0% | Memory: 37.2% (64.3 GB)
11:31:13 - CPU: 3.9% | Memory: 37.2% (64.4 GB)
11:31:14 - CPU: 3.9% | Memory: 37.2% (64.3 GB)
11:31:15 - CPU: 3.9% | Memory: 37.2% (64.3 GB)
11:31:16 - CPU: 4.9% | Memory: 37.2% (64.3 GB)
11:31:17 - CPU: 4.4% | Memory: 37.2% (64.3 GB)
11:31:18 - CPU: 3.6% | Memory: 37.1% (64.2 GB)
11:31:19 - CPU: 4.3% | Memory: 37.2% (64.3 GB)
11:31:20 - CPU: 4.5% | Memory: 37.2% (64.3 GB)
11:31:21 - CPU: 4.4% | Memory: 37.2% (64.4 GB)
11:31:22 - CPU: 4.6% | Memory: 37.2% (64.2 GB)
11:31:23 - CPU: 4.9% | Memory: 36.9% (63.7 GB)
11:31:24 - CPU: 3.8% | Memory: 37.0% (64.0 GB)
11:31:25 - CPU: 7.3% | Memory: 37.0% (64.0 GB)
11:31:26 - CPU: 9.4% | Memory: 37.2% (64.4 GB)
11:31:27 - CPU: 7.1% | Memory: 37.4% (64.6 GB)
11:31:28 - CPU: 3.8% | Memory: 37.2% (64.4 GB)
11:31:29 - CPU: 7.8% | Memory: 37.4% (64.6 GB)
11:31:30 - CPU: 5.1% | Memory: 37.5% (64.5 GB)
11:31:31 - CPU: 4.9% | Memory: 37.3% (64.5 GB)
11:31:32 - CPU: 3.8% | Memory: 37.3% (64.5 GB)
11:31:33 - CPU: 3.4% | Memory: 37.3% (64.5 GB)
11:31:34 - CPU: 4.2% | Memory: 37.2% (64.4 GB)
11:31:35 - CPU: 5.6% | Memory: 37.3% (64.5 GB)
11:31:36 - CPU: 7.9% | Memory: 37.3% (64.4 GB)
11:31:37 - CPU: 2.6% | Memory: 37.3% (64.4 GB)
11:31:38 - CPU: 6.1% | Memory: 37.3% (64.5 GB)
11:31:39 - CPU: 5.1% | Memory: 37.4% (64.6 GB)
11:31:40 - CPU: 5.8% | Memory: 37.4% (64.7 GB)
11:31:41 - CPU: 3.7% | Memory: 37.3% (64.5 GB)
11:31:42 - CPU: 4.8% | Memory: 37.3% (64.5 GB)
11:31:43 - CPU: 4.2% | Memory: 37.2% (64.3 GB)
11:31:44 - CPU: 3.9% | Memory: 37.2% (64.3 GB)
11:31:45 - CPU: 3.8% | Memory: 37.2% (64.4 GB)
11:31:46 - CPU: 37.7% | Memory: 37.4% (64.7 GB)
11:31:47 - CPU: 59.0% | Memory: 37.6% (64.8 GB)
11:31:48 - CPU: 13.7% | Memory: 37.4% (64.7 GB)
11:31:49 - CPU: 5.2% | Memory: 37.4% (64.7 GB)
11:31:50 - CPU: 3.8% | Memory: 37.4% (64.7 GB)
11:31:51 - CPU: 5.0% | Memory: 37.3% (64.5 GB)
11:31:52 - CPU: 6.3% | Memory: 37.4% (64.6 GB)
11:31:53 - CPU: 4.2% | Memory: 37.3% (64.6 GB)
11:31:54 - CPU: 3.4% | Memory: 37.5% (64.9 GB)
11:31:55 - CPU: 5.3% | Memory: 37.8% (65.3 GB)
11:31:56 - CPU: 4.6% | Memory: 37.8% (65.4 GB)
11:31:57 - CPU: 4.4% | Memory: 37.7% (65.2 GB)
11:31:58 - CPU: 4.4% | Memory: 37.7% (65.2 GB)
11:31:59 - CPU: 3.7% | Memory: 37.7% (65.2 GB)
11:32:00 - CPU: 4.0% | Memory: 37.6% (65.2 GB)
11:32:01 - CPU: 4.2% | Memory: 37.6% (65.1 GB)
11:32:02 - CPU: 4.2% | Memory: 37.7% (65.2 GB)
11:32:03 - CPU: 4.1% | Memory: 37.6% (65.1 GB)
11:32:04 - CPU: 4.5% | Memory: 37.6% (65.1 GB)
11:32:05 - CPU: 4.0% | Memory: 37.6% (65.1 GB)
11:32:06 - CPU: 4.2% | Memory: 37.6% (65.1 GB)
11:32:07 - CPU: 4.2% | Memory: 37.6% (65.0 GB)
11:32:08 - CPU: 4.4% | Memory: 37.6% (65.0 GB)
11:32:09 - CPU: 4.7% | Memory: 37.6% (65.1 GB)
11:32:10 - CPU: 5.7% | Memory: 37.6% (65.1 GB)
11:32:11 - CPU: 4.9% | Memory: 37.7% (65.2 GB)
11:32:12 - CPU: 4.1% | Memory: 37.7% (65.3 GB)
11:32:13 - CPU: 3.9% | Memory: 37.6% (65.1 GB)
11:32:14 - CPU: 4.2% | Memory: 37.7% (65.3 GB)
11:32:15 - CPU: 5.0% | Memory: 37.6% (65.1 GB)
